公司名稱,工作職稱,工作內容,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件,公司福利,聯絡人,聯絡方式,連結路徑
中華民國美容師教育養成協會,spa芳療技術講師 (台北 捷運松山站),"•中華美容師教育養成協會為台灣首屈一指以美容技能專業教學機構，是目前國內將美容、紋繡、美甲、美睫、醫美等專業技術發展為「客製化教學」之先驅。本協會的專業化經營模式已成為美容教學產業的標竿。 
•	關於協會 https://www.youtube.com/watch?v=hCz-Hf6-dsw
•本協會以提供美容師就業機會和創業為平台，協助美容師在專業技能知識的提升及增強店務經營管理等一系列教育訓練佈有就業網與美容機構、醫美診所及化妝品公司做人力資源媒合與聯合徵才，以利學員學成後可就、創業。
•	媒體訪問協會 https://www.youtube.com/watch?v=LPnuPvkpNns
•證照時代已經來臨，擁有一技之長比起一張漂亮的文憑來的重要，協會創辦各項專業技能課程，並運用雲端科技，所設計完善補課制度，讓學員學習不中斷，在家也可自學。期許每位學員，都能運用所學以開創嶄新的人生，協會的學員，都是掌握人生的贏家！

本職缺為兼任講師，上課時間彈性，依講師時間安排

本職缺為教導學員美睫專業技能之講師 
教導之課程： 
為「精油芳療手技SPA」專業技術及與沙龍專業身體經絡手技相關技術等。 
 您須具備
1. 精油SPA經絡按摩技能
3年以上工作相關經驗 
不論您是否具備教學經驗，都歡迎您主動應徵!! 
因本協會對於講師之教學品質及授課溝通能力要求極高，所有講師皆需經過試教通過方得正式授課。  

歡迎有志從事教學的你，加入協會專業講師的行列!
本職位為兼職 上班時間面議",['美療／芳療師'],待遇面議 （經常性薪資達 4 萬元或以上）,全職,高雄市苓雅區復興二路222-1號,不需負擔管理責任,無需出差外派,日班,依公司規定,可年後上班,不限,['上班族'],3年以上,專科,不拘,不拘,不拘,不拘,"1.具備3年相關經驗者
2.具丙級証照者佳
3.面試當天請自備按摩油現場考手技","1.完整教育訓練規劃
(職前訓練、在職教育訓練、新知識/技術教育訓練、執照輔導教育訓練等等) 
2.健全管理制度、勞、健保
3.年度績優人員享有激勵制度(國內／外員工旅遊)
4.依據績效達成及年資依當年績效給予年度分紅獎利",蘇小姐,無,https://www.104.com.tw/job/4aoyw?jobsource=2018indexpoc
中華民國儲蓄互助協會,中區督導,"1、查核及輔導儲蓄互助社財業務
2、出列席儲蓄互助社及相關會議
3、擔任儲蓄互助教育講師
4、輔導儲蓄互助社電腦化作業
5、協助處理儲蓄互助社逾期放款及法律訴訟
6、代表協會處理儲蓄互助社及其他機關之公共關係事務","['稽核人員', '查帳／審計人員']","月薪23,800~29,000元",全職,台中市北區台中、彰化、南投、雲林、嘉義各駐點,不需負擔管理責任,需出差，一年累積時間未定,日班,週休二日,一個月內,1人,"['上班族', '應屆畢業生', '原住民', '二度就業']",不拘,大學,不拘,不拘,Excel、PowerPoint、Word,法律相關條文諮詢服務、帳務查核與會計稽查、財務金融與風險管理,"1、具小客車駕照（車輛自備）
2、認同互助合作理念者
3、曾任儲蓄互助社專職、幹部者為佳","1.週休二日
2.享勞健保及勞退提繳
3.年終獎金
4.考核獎金
5.生日、端午、中秋獎金
6.員工健康檢查
7.員工自強活動
8.相關員工福利保險",陳姵如,無,https://www.104.com.tw/job/6ue8i?jobsource=2018indexpoc
中華民國美容師教育養成協會,藝術美甲講師 (台北 捷運松山站),"本職缺為教導學員美甲專業技能之講師，教導之課程： 
●為「手足保養」、「彩繪、光療、粉雕紙甲」、
●各種美甲專業技術與美甲一、二級檢定等

講師您須具備美甲專業技術及其它美甲專業技能及3年以上工作經驗 
不論您是否具備教學經驗，都歡迎您主動應徵!! 

本協會對於講師之教學品質及授課溝通能力要求品質
所有講師皆需經過試教通過方正式授課
歡迎有志從事美甲教學的你，加入協會專業講師的行列!
需配合招生課程授課時間",['美甲彩繪師'],待遇面議 （經常性薪資達 4 萬元或以上）,全職,台北市松山區八德路四段660號3樓之6(捷運松山站2號口寶雅樓上,不需負擔管理責任,無需出差外派,日班/晚班/假日班，需輪班,依公司規定,不限,不限,['上班族'],3年以上,不拘,不拘,不拘,不拘,不拘,"1.具三年以上美甲師從業經驗
2.面試時需帶作品
3.具美甲比賽得獎者或具評審資格者尤佳","1.完整教育訓練規劃
(職前訓練、在職教育訓練、新知識/技術教育訓練、執照輔導教育訓練等等) 
2.健全管理制度、勞、健保
3.年度績優人員享有激勵制度(國內／外員工旅遊)
4.依據績效達成及年資依當年績效給予年度分紅獎利",江小姐,無,https://www.104.com.tw/job/4dhkn?jobsource=2018indexpoc
社團法人台灣彩虹愛家生命教育協會,行銷部媒體影音製作人員,"1.	影片製作前期企劃
2.	執行攝影作業（活動、訪談等拍攝）
3.	執行OS等聲音錄製
4.	影片剪輯後製作業
5.	平面美編排版設計（具備製作動畫影片能力者尤佳）
6.	主管交辦事項","['影片製作技術人員', '節目製作人員', '攝影師']","月薪27,000~37,000元",全職,新北市新莊區中正路708號7樓,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1~2人,"['上班族', '應屆畢業生', '原住民', '二度就業']",1年以上,專科以上,大眾傳播學科類、藝術學科類,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,After Effects、Premiere、Adobe Photoshop、Illustrator,活動主持與場控、廣告企劃案╱文案撰寫、節目內容包裝與規劃製作、各式影片剪接後製作業、執行影片拍攝作業、執行攝影作業、影像輸出作業、操作使用各式相機及週邊設備功能、作業系統基本操作、文書處理軟體操作、視覺設計相關知識、廣告設計概念、多媒體影像處理、動畫人物故事流程製作、動畫程式撰寫、數位攝影技巧,"大眾傳播／藝術學科類相關科系畢業者佳 
※求職者請務必附上個人美術設計相關作品，或附上個人作品網址","❤我們的福利：
1.貼心的保險/補助
-享勞保、健保及職災保險
-勞工退休金提撥
-免費的團保
-結婚禮金、婚喪喜慶補助
-三節禮券或禮品發放

2.彈性的假勤制度
-注重工作與生活的和諧，彈性上班時間(每日工時8小時)、週休二日
  (到職滿半年享有特別休假3天、一年即享有特別休假7天，滿第二年享有10天，滿第三年享有14天、第七年開始優於勞基法之休假制度)
-鼓勵生育，提供陪產假、育嬰留停等
-女性同仁生理假
-聖誕節放假

3相關的教育訓練
-教育訓練每周晨會
-不定期安排管理課程
-享有彩虹課程優惠等
-享有協會相關課程優惠
-教育訓練補助(費用/公假)

4.豐富溫馨的活動
尾牙餐會/感恩聚餐/部門聚餐補助/員工旅遊等",王先生,david@rkf.org.tw,https://www.104.com.tw/job/5vkyf?jobsource=2018indexpoc
台北市基礎教育關懷協會,兼職國小課後照顧輔導安親老師（台北市北投區）,"台北市基礎教育關懷協會自 2005 成立以來，長期耕耘課後照顧，團隊穩健，經驗充足。

課後照顧除了輔導學業與團體生活能力，更專注在孩子們的品格教育上。品格教育從關懷、禮貌出發，期待社區學童個個懂得尊重生命、與人合作，發展出良好挫折忍耐力。

工作內容如下：

1.作業指導：進行作業指導。協助學童完成回家功課。
2.品格教育：引導學童發展良好人際關係、自我情緒管理，適應團體生活。並延伸品格教育。
3.關懷學童：了解學童學習狀況與人際關係。學童感受到老師的關心，將更加信任、認同老師的指導。","['安親班老師', '幼教班老師', '國小學校教師']",時薪220~320元,兼職 - 長期工讀,台北市北投區,無,無,日班，日班，週一三四五，12:00至18:00.,依公司規定,不限,1~5人,"['上班族', '應屆畢業生', '原住民', '二度就業']",不拘,專科以上,不拘,不拘,不拘,不拘,無,"勞健保及退休金提撥
部門聚餐
教育訓練：不定期聘請專家指導，辦理講座。",陳老師,無,https://www.104.com.tw/job/6td5e?jobsource=2018indexpoc
社團法人南投縣生活重建協會,社工員,"*需具社工師考試資格 

*對服務老人有興趣  

*需具照服員證照


 

1.社會資源連結，整合社區資源 
2.申請計畫案、個案諮商、心理暨社會評估及處置、辦理相關活動和員工輔導知能研習 
3.實習生招募訓練與督導、社會福利志願服務之推動及相關自助團體與社區性團體之輔導 
4.建立個案管理系統，進行家庭訪問 
5.方案規劃與執行，定期彙報核銷及成果報告 
6.個案開發，團體合作，社會工作 
7.協會業務支援",['社工人員'],"月薪32,000~35,000元",全職,南投縣國姓鄉福龜村長壽巷83之3號,管理4人以下,無需出差外派,日班，08:00~17:00,週休二日,一週內,2~3人,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '外籍人士', '原住民', '二度就業']",不拘,大學以上,社會學相關、護理助產相關,台語 -- 略懂,不拘,不拘,"科系限制：社會工作學類/其他社會服務學類/護理學類

具有居家服務督導員證書及護理師執照者佳","法定項目
勞保、健保、加班費、週休二日、育嬰假、年假、產假、員工體檢、勞退提撥金、職災保險

福利制度
獎 金 類：年節獎金、員工生日禮金、年終獎金、三節獎金、禮品
保 險 類：員工團保
居 住 類：員工宿舍
交 通 類：員工停車位或停車補助
設 備 類：有休息寢室、員工餐廳
娛 樂 類：國內旅遊、員工定期聚餐、尾牙
補 助 類：員工結婚補助、員工退休規劃（包括退休金及退休後之福利等）、員工及眷屬喪葬補助
其 　他：員工在職教育訓練
‧週休二日‧員工宿舍‧公務車‧員工停車位或停車補助‧國內旅遊‧健保‧勞保‧員工團保‧意外險‧員工及眷屬住院慰問金│",邱小姐,liaw.a0423@msa.hinet.net,https://www.104.com.tw/job/6ojb5?jobsource=2018indexpoc
航發協會,兼職/計時客服人員,"1. 航空職涯規劃及航空證照/學程介紹服務
2. 協助學員安排就業, 及相關行政事宜
3. 具備良好溝通能力,電腦操作, 客服經驗為佳
4. 工作彈性, 歡迎學生及二度就業婦女","['業務助理', '國內業務人員', '電話客服類人員']",待遇面議 （經常性薪資達 4 萬元或以上）,全職,台北市中山區依公司規定分派,不需負擔管理責任,無需出差外派,日班/晚班/假日班，09:00-18:00,依公司規定,一週內,不限,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '二度就業']",1年以上,高中以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Windows XP、Windows 7,行政事務處理、電話接聽與人員接待事項、客戶資料更新維護、業績目標分配與績效達成、客訴案件處理、櫃檯門市接待與需求服務、產品介紹及解說銷售,"口齒清晰、細心、耐心、溝通能力好、有服務熱忱，擔任學校活動幹部者為佳，有責任感、能獨立作業,具基本電腦操作, 客服銷售經驗
航發協會服務內容 詳洽官網: www.acda.org.tw
工作待遇：面議

***請勿重覆投遞履歷***
***廣告商勿擾***","獎金福利：全勤獎金 及 績效獎金、年終獎金
平均薪資：NT 28,000~50,000
保險福利：勞保、健保
補助福利：員工在職教育訓練
其他福利：教育訓練期間，保障底薪",Vivian,vivian@acda.org.tw,https://www.104.com.tw/job/4ws78?jobsource=2018indexpoc
航發協會,兼職/計時客服人員,"1. 航空職涯規劃及航空證照/學程介紹服務
2. 協助學員安排就業, 及相關行政事宜
3. 具備良好溝通能力,電腦操作, 客服經驗為佳
4. 工作彈性, 歡迎學生及二度就業婦女","['業務助理', '國內業務人員', '電話客服類人員']",待遇面議 （經常性薪資達 4 萬元或以上）,兼職,台北市中山區依公司規定分派,無,無,日班/晚班/假日班，09:00-18:00,依公司規定,一週內,不限,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '二度就業']",1年以上,高中以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Windows XP、Windows 7,行政事務處理、電話接聽與人員接待事項、客戶資料更新維護、業績目標分配與績效達成、客訴案件處理、櫃檯門市接待與需求服務、產品介紹及解說銷售,"口齒清晰、細心、耐心、溝通能力好、有服務熱忱，擔任學校活動幹部者為佳，有責任感、能獨立作業,具基本電腦操作, 客服銷售經驗
航發協會服務內容 詳洽官網: www.acda.org.tw
工作待遇：面議

***請勿重覆投遞履歷***
***廣告商勿擾***","獎金福利：全勤獎金 及 績效獎金、年終獎金
平均薪資：NT 28,000~50,000
保險福利：勞保、健保
補助福利：員工在職教育訓練
其他福利：教育訓練期間，保障底薪",Vivian,"vivian@acda.org.tw,tracy@acda.org.tw",https://www.104.com.tw/job/6ijm2?jobsource=2018indexpoc
中華民國美容師教育養成協會,美編設計及網路行銷專員(小編)(台北)(待優),"•中華美容師教育養成協會為台灣首屈一指以美容技能專業教學機構，是目前國內將美容、紋繡、美甲、美睫、醫美等專業技術發展為「客製化教學」之先驅。本協會的專業化經營模式已成為美容教學產業的標竿。 
•	關於協會 https://www.youtube.com/watch?v=hCz-Hf6-dsw
•本協會以提供美容師就業機會和創業為平台，協助美容師在專業技能知識的提升及增強店務經營管理等一系列教育訓練佈有就業網與美容機構、醫美診所及化妝品公司做人力資源媒合與聯合徵才，以利學員學成後可就、創業。
•	媒體訪問協會 https://www.youtube.com/watch?v=LPnuPvkpNns
•證照時代已經來臨，擁有一技之長比起一張漂亮的文憑來的重要，協會創辦各項專業技能課程，並運用雲端科技，所設計完善補課制度，讓學員學習不中斷，在家也可自學。期許每位學員，都能運用所學以開創嶄新的人生，協會的學員，都是掌握人生的贏家！
本職務為美工編輯及網路行銷人員(小編)
工作範疇如下:
1.設計製作平面文宣、海報和EDM。
2.網站管理。
3.商業與產品攝影
4.論壇發表文章寫作
5.擅長FB與IG社群經營管理及投放者佳
6.具視訊影像編輯能力佳","['平面設計／美編人員', '廣告設計', '設計助理']",待遇面議 （經常性薪資達 4 萬元或以上）,全職,台北市松山區八德路四段660號3樓之5,不需負擔管理責任,無需出差外派,日班，9:00~6:00,週休二日,可年後上班,1人,"['上班族', '二度就業']",不拘,專科以上,不拘,不拘,Adobe Photoshop、CorelDraw、Illustrator,CIS企畫設計、各式封面設計、插畫表現技巧、多媒體影像處理,無,"1.完整教育訓練規劃
(職前訓練、在職教育訓練、新知識/技術教育訓練、執照輔導教育訓練等等) 
2.健全管理制度、勞、健保
3.年度績優人員享有激勵制度(國內／外員工旅遊)
4.依據績效達成及年資依當年績效給予年度分紅獎利",周小姐,無,https://www.104.com.tw/job/6srie?jobsource=2018indexpoc
航發協會,飛行機師講師 (高雄),"本協會與國外多所飛行學校合作，提供培訓、自訓機師的養成課程。邀請有夢想並持續向天空挑戰的你擔任飛行機師班的講師，協助學員進修地面課程、飛行摸擬及國外飛行學校生活輔導諮詢。
歡迎你加入我們的師資陣容，你可以安排自己的授課時段，還可以邊在協會進修其他精進課程，協會並提供國際職缺媒合機會，一舉數得。",['講師'],待遇面議 （經常性薪資達 4 萬元或以上）,兼職,高雄市苓雅區依公司規定分派,無,無,日班/晚班/假日班，09:00-18:00,依公司規定,不限,不限,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '外籍人士', '原住民', '二度就業']",不拘,專科以上,不拘,英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,不拘,不拘,"具航空相關工作經驗為佳。
具備飛行教官證照為佳","獎金福利：全勤獎金 及 績效獎金、年終獎金
平均薪資：NT 28,000~50,000
保險福利：勞保、健保
補助福利：員工在職教育訓練
其他福利：教育訓練期間，保障底薪",鄒小姐,"tracy@acda.org.tw,vivian@acda.org.tw",https://www.104.com.tw/job/6ih56?jobsource=2018indexpoc
航發協會,飛行機師講師 (台中),"本協會與美.澳飛行學校合作，提供培訓、自訓機師的養成教育課程。
邀請有心想分享經驗, 協助青年學子的您, 加入航發協會的行列!
飛行機師班的講師，協助學員投考航空公司培訓機師, 授課內容:進修飛行機師地面課程、摸擬飛行, 及航空公司中英文面談課程。
歡迎你加入我們的師資陣容，你可以安排自己的授課時段，",['講師'],待遇面議 （經常性薪資達 4 萬元或以上）,兼職,台中市東區,無,無,日班/假日班，09:00-16:00,假日,不限,不限,"['上班族', '外籍人士', '原住民', '二度就業']",不拘,專科以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘,不拘,"具備民航飛行機師經驗為佳
具航空相關工作經驗為佳。
具備飛行學科, 模擬飛行, 航空公司考試中英文面談經驗為佳.
具備飛行教官證照為佳","獎金福利：全勤獎金 及 績效獎金、年終獎金
平均薪資：NT 28,000~50,000
保險福利：勞保、健保
補助福利：員工在職教育訓練
其他福利：教育訓練期間，保障底薪",France,"tracy@acda.org.tw,vivian@acda.org.tw",https://www.104.com.tw/job/6afg2?jobsource=2018indexpoc
航發協會,業務行銷專員 (高雄)(薪資3~5萬),"1.飛行機師/飛機維修/空服地勤就業服務
2.航發協會國內課程/國際課程服務解說
如果您對航空服務業有熱情!
如果您認為您值得接受培訓, 挑戰高薪!
歡迎加入我們的航業!","['國內業務人員', '行銷企劃人員', '行銷企劃助理']",待遇面議 （經常性薪資達 4 萬元或以上）,全職,高雄市苓雅區高雄市中正四路211 號15 樓,管理人數未定,無需出差外派,日班/假日班，需輪班,週休二日,一個月內,不限,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '研發替代役', '外籍人士', '原住民', '二度就業', '學生實習']",不拘,專科以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Windows 2003、Word、中文打字50~75、英文打字50~75,櫃檯門市接待與需求服務、產品介紹及解說銷售,"1.具客服經驗、航空產業或教育業相關資歷佳
2.具備服務熱忱及親切、耐心特質。
3.具備良好的溝通能力及觀察力，以達成優質服務之成效","獎金福利：全勤獎金 及 績效獎金、年終獎金
平均薪資：NT 28,000~50,000
保險福利：勞保、健保
補助福利：員工在職教育訓練
其他福利：教育訓練期間，保障底薪",龐小姐,france@acda.org.tw,https://www.104.com.tw/job/5duf8?jobsource=2018indexpoc
航發協會,業務行銷專員 (台北)(薪資3~5萬)(正職/兼職可),"1.	飛行機師/飛機維修/空服地勤就業服務
2.	航發協會國內課程/國際課程服務解說
3.	美澳航空/飛行學校諮詢/國際課程解說
如果您對航空服務業有熱情!
如果對國際事務有興趣!
如果您認為您值得接受培訓, 挑戰高薪!
歡迎加入我們的航業!","['產品行銷人員', '電話客服類人員', '業務助理']","月薪30,000~50,000元",全職,台北市中山區中山北路二段46號6樓,不需負擔管理責任,無需出差外派,日班/晚班/假日班，09:00-18:00,週休二日,兩週內,不限,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '研發替代役', '外籍人士', '原住民', '二度就業', '學生實習']",1年以上,專科以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Windows XP、Windows 7,行政事務處理、電話接聽與人員接待事項、業績目標分配與績效達成、產品介紹及解說銷售,"1.具客服經驗、航空產業或教育業相關資歷佳
2.具備服務熱忱及親切、耐心特質。
3.具備良好的溝通能力及觀察力，以達成優質服務之成效。
4. 具國外遊， 留學經驗為佳.
5.有澳洲及美國留遊學經驗尤佳","獎金福利：全勤獎金 及 績效獎金、年終獎金
平均薪資：NT 28,000~50,000
保險福利：勞保、健保
補助福利：員工在職教育訓練
其他福利：教育訓練期間，保障底薪",Vivian,02-25232336,https://www.104.com.tw/job/4rkn9?jobsource=2018indexpoc
航發協會,行銷企劃人員 (正職/兼職可),"*航發協會網站經營: 航空新聞發佈及資訊更新.
*社群網站經營:撰寫文案與網站PO文與美編，包含FB、Line 動態新聞, Google Blogger、官網、痞客邦等社群網站經營。     
*建置You-tube 影片上傳, Instagram。
*學校活動企劃/聯繫/ 文案宣廣(含國內/國際合作學校)
*協助舉辦航空職涯規劃說明會活動。
*其他主管交辦事宜",['行銷企劃人員'],待遇面議 （經常性薪資達 4 萬元或以上）,全職,台北市中山區中山北路二段46號6樓,不需負擔管理責任,無需出差外派,日班，需輪班,依公司規定,不限,1人,"['上班族', '應屆畢業生', '原住民', '二度就業']",2年以上,不拘,不拘,不拘,不拘,不拘,工作待遇：月/時薪制，依表現加薪，另有優渥獎金,"獎金福利：全勤獎金 及 績效獎金、年終獎金
平均薪資：NT 28,000~50,000
保險福利：勞保、健保
補助福利：員工在職教育訓練
其他福利：教育訓練期間，保障底薪",龐小姐,france@acda.org.tw,https://www.104.com.tw/job/60b3s?jobsource=2018indexpoc
航發協會,飛行機師教官/講師 (高雄),"*大專以上學歷, 具航空產業相關資歷 
*具航空專業知識, 模擬飛行教授經驗為佳 
*具航空公司面談教授經驗為佳 
*具FAA 飛行教官執照為佳. 
※本協會與美國、澳洲著名飛行學校合作，提供培訓機師養成訓練、與自訓機師先修課程。
※敬邀有教學熱忱的您加入我們、提攜後進，引領學生一圓航空夢！ 
※講授範圍：飛行專業知識、摸擬飛行、航空公司中英文面談解析~","['講師', '其他類講師']",待遇面議 （經常性薪資達 4 萬元或以上）,兼職,高雄市前金區中正四路211號15樓,無,無,日班/假日班，兼職依公司排班，需輪班,依公司規定,兩週內,不限,"['上班族', '外籍人士', '原住民', '二度就業']",不拘,專科以上,不拘,英文 -- 聽 /中等、說 /精通、讀 /中等、寫 /中等,不拘,不拘,"具航空公司飛行機師經驗、
具航空公司飛行機師招募, 面談教授經驗為佳
具FAA／ICAO 飛行教官執照為佳","獎金福利：全勤獎金 及 績效獎金、年終獎金
平均薪資：NT 28,000~50,000
保險福利：勞保、健保
補助福利：員工在職教育訓練
其他福利：教育訓練期間，保障底薪",龐小姐,"tracy@acda.org.tw,vivian@acda.org.tw",https://www.104.com.tw/job/5bj2n?jobsource=2018indexpoc
中華民國美容師教育養成協會,美編設計及網路行銷專員(台北)(待優),"•中華美容師教育養成協會為台灣首屈一指以美容技能專業教學機構，是目前國內將美容、紋繡、美甲、美睫、醫美等專業技術發展為「客製化教學」之先驅。本協會的專業化經營模式已成為美容教學產業的標竿。 
•	關於協會 https://www.youtube.com/watch?v=hCz-Hf6-dsw
•本協會以提供美容師就業機會和創業為平台，協助美容師在專業技能知識的提升及增強店務經營管理等一系列教育訓練佈有就業網與美容機構、醫美診所及化妝品公司做人力資源媒合與聯合徵才，以利學員學成後可就、創業。
•	媒體訪問協會 https://www.youtube.com/watch?v=LPnuPvkpNns
•證照時代已經來臨，擁有一技之長比起一張漂亮的文憑來的重要，協會創辦各項專業技能課程，並運用雲端科技，所設計完善補課制度，讓學員學習不中斷，在家也可自學。期許每位學員，都能運用所學以開創嶄新的人生，協會的學員，都是掌握人生的贏家！
本職務為美工編輯及網路行銷人員(小編)
工作範疇如下:
1.設計製作平面文宣、海報和EDM。
2.網站管理。
3.商業與產品攝影
4.論壇發表文章寫作
5.擅長FB與IG社群經營管理及投放者佳
6.具視訊影像編輯能力佳","['平面設計／美編人員', '廣告設計', '設計助理']",待遇面議 （經常性薪資達 4 萬元或以上）,全職,台北市松山區八德路四段660號3樓之6(捷運松山站2號口寶雅樓上),不需負擔管理責任,無需出差外派,日班，9:00~6:00,週休二日,可年後上班,1人,"['上班族', '二度就業']",不拘,專科以上,不拘,不拘,Premiere、Adobe Photoshop、Illustrator,CIS企畫設計、各式封面設計、視覺設計相關知識、電腦印前設計、電腦繪圖軟體操作、多媒體影像處理,無,"1.完整教育訓練規劃
(職前訓練、在職教育訓練、新知識/技術教育訓練、執照輔導教育訓練等等) 
2.健全管理制度、勞、健保
3.年度績優人員享有激勵制度(國內／外員工旅遊)
4.依據績效達成及年資依當年績效給予年度分紅獎利",周小姐,無,https://www.104.com.tw/job/56fmh?jobsource=2018indexpoc
中華民國美容師教育養成協會,藝術美甲講師 (高雄),"•中華美容師教育養成協會為台灣首屈一指以美容技能專業教學機構，是目前國內將美容、紋繡、美甲、美睫、醫美等專業技術發展為「客製化教學」之先驅。本協會的專業化經營模式已成為美容教學產業的標竿。 
•	關於協會 https://www.youtube.com/watch?v=hCz-Hf6-dsw
•本協會以提供美容師就業機會和創業為平台，協助美容師在專業技能知識的提升及增強店務經營管理等一系列教育訓練佈有就業網與美容機構、醫美診所及化妝品公司做人力資源媒合與聯合徵才，以利學員學成後可就、創業。
•	媒體訪問協會 https://www.youtube.com/watch?v=LPnuPvkpNns
•證照時代已經來臨，擁有一技之長比起一張漂亮的文憑來的重要，協會創辦各項專業技能課程，並運用雲端科技，所設計完善補課制度，讓學員學習不中斷，在家也可自學。期許每位學員，都能運用所學以開創嶄新的人生，協會的學員，都是掌握人生的贏家！

本職缺為教導學員美甲專業技能之講師 
教導之課程： 
為「手足保養」、「彩繪、光療、粉雕紙甲」、及各種美甲專業技術與美甲一、二級檢定等。 
 您須具備美甲專業技術及其它美甲專業技能及3年以上工作經驗 
不論您是否具備教學經驗，都歡迎您主動應徵!! 
因本協會對於講師之教學品質及授課溝通能力要求極高，所有講師皆需經過試教通過方得正式授課。  
歡迎有志從事美甲教學的你，加入協會專業講師的行列!

此職務可為兼職 上班時間 面議","['美甲彩繪師', '其他類講師', '講師']",待遇面議 （經常性薪資達 4 萬元或以上）,兼職,高雄市苓雅區復興二路222-1號,無,無,日班/晚班/假日班，需輪班,依公司規定,不限,1~2人,['上班族'],3年以上,不拘,不拘,不拘,不拘,不拘,"1.具三年以上美甲師從業經驗
2.面試時需帶作品
3.具美甲比賽得獎者或具評審資格者尤佳
4.上班時間面議","1.完整教育訓練規劃
(職前訓練、在職教育訓練、新知識/技術教育訓練、執照輔導教育訓練等等) 
2.健全管理制度、勞、健保
3.年度績優人員享有激勵制度(國內／外員工旅遊)
4.依據績效達成及年資依當年績效給予年度分紅獎利",蘇小姐,無,https://www.104.com.tw/job/6r0gm?jobsource=2018indexpoc
國際半導體產業協會_美商國際半導體產業有限公司台灣分公司,Project Coordinator (Contractor),"1.規劃和執行高階會議及國際論壇，包含: 與會者聯繫溝通、講師邀請、報告整理分析、企畫案發想、撰寫與現場活動執行
2.協力廠商溝通與監督執行
3.跨部門及對外協調溝通確保計劃完成","['行銷企劃人員', '市場調查／市場分析', '國內業務人員']",待遇面議 （經常性薪資達 4 萬元或以上）,全職,新竹縣竹北市台元一街1號11樓之2,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1人,['上班族'],3年以上,大學、碩士,一般商業學類、市場行銷相關、其他商業及管理相關,英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,Windows 8、Adobe Acrobat、Excel、Outlook、PowerPoint、Word、中文打字50~75、英文打字50~75、Adobe Photoshop、CoolDraw、Illustrator,異業合作規劃與執行、提案與簡報技巧、研討會／講座活動規劃與執行、公關活動規劃與執行、公關新聞稿撰寫與報導、市場調查企劃與執行,"1.具公關、活動或行銷工作2年以上經驗，無工作經驗者勿試
2.具備國際組織 / 公協會經驗佳
3.具有微電子/半導體產業知識或經驗者優先考慮
4.精通 Office (word, excel power point)
5.喜歡挑戰性、創意、細心、團隊合作
6.流利的中英文聽說讀寫能力","週休二日
優於勞基法休假制度
勞健保及勞工退休金
教育訓練
員工自主性管理制度
培養國際觀",李小姐,無,https://www.104.com.tw/job/6d0mm?jobsource=2018indexpoc
航發協會,空服員/地勤講師 (台中),"•       美姿美儀, 整體造型塑造
•	航空廣播詞, 專業術語及服務禮儀訓練
•	航空公司中英文模擬面談訓練
教授：空服/地勤專業、專業形象儀態塑造、航空公司中英文面談解析
歡迎對航空事業高度熱誠、想搌展第二事業專長的你/妳","['空服員', '講師']",待遇面議 （經常性薪資達 4 萬元或以上）,兼職,台中市西屯區台灣大道三段540號3樓,無,無,日班/假日班，依公司排班，需輪班,依公司規定,兩週內,不限,"['上班族', '外籍人士', '二度就業']",2年以上,專科以上,不拘,英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,不拘,提供儀態訓練、聲音表達指導,"具備航空相關證照為佳
具航空公司空服/地勤相關資歷
具航空公司講師、督導經驗為佳","獎金福利：全勤獎金 及 績效獎金、年終獎金
平均薪資：NT 28,000~50,000
保險福利：勞保、健保
補助福利：員工在職教育訓練
其他福利：教育訓練期間，保障底薪",Vivian,02-25232336-25,https://www.104.com.tw/job/6afg0?jobsource=2018indexpoc
